E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E
SH;P;P;P;P;P;TB;TB;TB;P;TB;TB;TB;P;TB;TB;TB;P;SH
E;L;E;E;E;L;E;L;E;L;E;E;E;L;E;E;E;L;E
E;LP;TB;TB;TB;LP;E;L;E;LP;LE;LE;LE;LP;LE;LE;LE;LP;E
E;E;E;L;E;LP;P;LP;P;LP;E;L;E;L;E;E;E;L;E
E;P;LE;LE;LE;LP;E;E;E;L;E;L;E;LP;BU;BU;BU;LP;E
E;L;E;L;E;LP;LE;LE;LE;LP;BU;BU;BU;LP;E;L;E;E;E
E;L;E;L;E;L;E;E;E;L;E;E;E;LP;BB;BB;BB;P;E
E;LP;BU;BU;BU;LP;BU;BU;BU;LP;P;P;P;LP;E;L;E;L;E
E;L;E;E;E;L;E;E;E;L;E;E;E;L;E;L;E;L;E
SH;LP;BB;BB;BB;LP;BB;BB;BB;SC;BB;BB;BB;LP;P;LP;P;LP;SE
E;HL;HL;HL;HL;HL;HL;HL;HL;HL;HL;HL;HL;HL;HL;HL;HL;HL;E
E;HL;PL;PL;PL;HL;PL;PL;PL;HL;PL;PL;PL;HL;PL;PL;PL;HL;E
